|income_band  |date      |death_rate   |
|Low Income   |2021-02-16|1.6328300427 |
|Middle Income|2021-02-17|2.5206787877 |
|High Income  |2021-02-17|2.3369784724 |
|Low Income   |2021-02-17|1.6328300427 |
|Middle Income|2021-02-18|2.5206787877 |
|High Income  |2021-02-18|2.3369784724 |
|Low Income   |2021-02-18|1.6328300427 |
|Middle Income|2021-02-19|2.5206787877 |
|High Income  |2021-02-19|2.3369784724 |
|Low Income   |2021-02-19|1.6328300427 |
|Middle Income|2021-02-20|2.5206787877 |
|High Income  |2021-02-20|2.3369784724 |
|Low Income   |2021-02-20|1.6328300427 |
|Middle Income|2021-02-21|2.5290137812 |
|High Income  |2021-02-21|2.3455411438 |
|Low Income   |2021-02-21|1.6343891804 |
|Middle Income|2021-02-22|2.5290137812 |
|High Income  |2021-02-22|2.3455411438 |
|Low Income   |2021-02-22|1.6343891804 |
|Middle Income|2021-02-23|2.5290137812 |
|High Income  |2021-02-23|2.3455411438 |
|Low Income   |2021-02-23|1.6343891804 |
|Middle Income|2021-02-24|2.5290137812 |
|High Income  |2021-02-24|2.3455411438 |
|Low Income   |2021-02-24|1.6343891804 |
|Middle Income|2021-02-25|2.5290137812 |
|High Income  |2021-02-25|2.3455411438 |
|Low Income   |2021-02-25|1.6343891804 |
|Middle Income|2021-02-26|2.5290137812 |
|High Income  |2021-02-26|2.3455411438 |
|Low Income   |2021-02-26|1.6343891804 |
|Middle Income|2021-02-27|2.5290137812 |
|High Income  |2021-02-27|2.3455411438 |
|Low Income   |2021-02-27|1.6343891804 |
|Middle Income|2021-02-28|2.5288648177 |
|High Income  |2021-02-28|2.3453119641 |
|Low Income   |2021-02-28|1.630659444  |
|Middle Income|2021-03-01|2.5288648177 |
|High Income  |2021-03-01|2.3453119641 |
|Low Income   |2021-03-01|1.630659444  |
|Middle Income|2021-03-02|2.5288648177 |
|High Income  |2021-03-02|2.3453119641 |
|Low Income   |2021-03-02|1.630659444  |
|Middle Income|2021-03-03|2.5288648177 |
|High Income  |2021-03-03|2.3453119641 |
|Low Income   |2021-03-03|1.630659444  |
|Middle Income|2021-03-04|2.5288648177 |
|High Income  |2021-03-04|2.3453119641 |
|Low Income   |2021-03-04|1.630659444  |
|Middle Income|2021-03-05|2.5288648177 |
|High Income  |2021-03-05|2.3453119641 |
|Low Income   |2021-03-05|1.630659444  |
|Middle Income|2021-03-06|2.5288648177 |
|High Income  |2021-03-06|2.3453119641 |
|Low Income   |2021-03-06|1.630659444  |
|Middle Income|2021-03-07|2.5246081242 |
|High Income  |2021-03-07|2.339860156  |
|Low Income   |2021-03-07|1.6245148752 |
|Middle Income|2021-03-08|2.5246081242 |
|High Income  |2021-03-08|2.339860156  |
|Low Income   |2021-03-08|1.6245148752 |
|Middle Income|2021-03-09|2.5246081242 |
|High Income  |2021-03-09|2.339860156  |
|Low Income   |2021-03-09|1.6245148752 |
|Middle Income|2021-03-10|2.5246081242 |
|High Income  |2021-03-10|2.339860156  |
|Low Income   |2021-03-10|1.6245148752 |
|Middle Income|2021-03-11|2.5246081242 |
|High Income  |2021-03-11|2.339860156  |
|Low Income   |2021-03-11|1.6245148752 |
|Middle Income|2021-03-12|2.5246081242 |
|High Income  |2021-03-12|2.339860156  |
|Low Income   |2021-03-12|1.6245148752 |
|Middle Income|2021-03-13|2.5246081242 |
|High Income  |2021-03-13|2.339860156  |
|Low Income   |2021-03-13|1.6245148752 |
|Middle Income|2021-03-14|2.5163148297 |
|High Income  |2021-03-14|2.3301196288 |
|Low Income   |2021-03-14|1.6153569309 |
|Middle Income|2021-03-15|2.5163148297 |
|High Income  |2021-03-15|2.3301196288 |
|Low Income   |2021-03-15|1.6153569309 |
|Middle Income|2021-03-16|2.5163148297 |
|High Income  |2021-03-16|2.3301196288 |
|Low Income   |2021-03-16|1.6153569309 |
|Middle Income|2021-03-17|2.5163148297 |
|High Income  |2021-03-17|2.3301196288 |
|Low Income   |2021-03-17|1.6153569309 |
|Middle Income|2021-03-18|2.5163148297 |
|High Income  |2021-03-18|2.3301196288 |
|Low Income   |2021-03-18|1.6153569309 |
|Middle Income|2021-03-19|2.5163148297 |
|High Income  |2021-03-19|2.3301196288 |
|Low Income   |2021-03-19|1.6153569309 |
|Middle Income|2021-03-20|2.5163148297 |
|High Income  |2021-03-20|2.3301196288 |
|Low Income   |2021-03-20|1.6153569309 |
|Middle Income|2021-03-21|2.5048356437 |
|High Income  |2021-03-21|2.3153552103 |
|Low Income   |2021-03-21|1.5982998465 |
|Middle Income|2021-03-22|2.5048356437 |
|High Income  |2021-03-22|2.3153552103 |
|Low Income   |2021-03-22|1.5982998465 |
|Middle Income|2021-03-23|2.5048356437 |
|High Income  |2021-03-23|2.3153552103 |
|Low Income   |2021-03-23|1.5982998465 |
|Middle Income|2021-03-24|2.5048356437 |
|High Income  |2021-03-24|2.3153552103 |
|Low Income   |2021-03-24|1.5982998465 |
|Middle Income|2021-03-25|2.5048356437 |
|High Income  |2021-03-25|2.3153552103 |
|Low Income   |2021-03-25|1.5982998465 |
|Middle Income|2021-03-26|2.5048356437 |
|High Income  |2021-03-26|2.3153552103 |
|Low Income   |2021-03-26|1.5982998465 |
|Middle Income|2021-03-27|2.5048356437 |
|High Income  |2021-03-27|2.3153552103 |
|Low Income   |2021-03-27|1.5982998465 |
|Middle Income|2021-03-28|2.4900537059 |
|High Income  |2021-03-28|2.2966020172 |
|Low Income   |2021-03-28|1.57470026   |
|Middle Income|2021-03-29|2.4900537059 |
|High Income  |2021-03-29|2.2966020172 |
|Low Income   |2021-03-29|1.57470026   |
|Middle Income|2021-03-30|2.4900537059 |
|High Income  |2021-03-30|2.2966020172 |
|Low Income   |2021-03-30|1.57470026   |
|Middle Income|2021-03-31|2.4900537059 |
|High Income  |2021-03-31|2.2966020172 |
|Low Income   |2021-03-31|1.57470026   |
|Middle Income|2021-04-01|2.4900537059 |
|High Income  |2021-04-01|2.2966020172 |
|Low Income   |2021-04-01|1.57470026   |
|Middle Income|2021-04-02|2.4900537059 |
|High Income  |2021-04-02|2.2966020172 |
|Low Income   |2021-04-02|1.57470026   |
|Middle Income|2021-04-03|2.4900537059 |
|High Income  |2021-04-03|2.2966020172 |
|Low Income   |2021-04-03|1.57470026   |
|Middle Income|2021-04-04|2.4770719663 |
|High Income  |2021-04-04|2.2791140755 |
|Low Income   |2021-04-04|1.5523788636 |
|Middle Income|2021-04-05|2.4770719663 |
|High Income  |2021-04-05|2.2791140755 |
|Low Income   |2021-04-05|1.5523788636 |
|Middle Income|2021-04-06|2.4770719663 |
|High Income  |2021-04-06|2.2791140755 |
|Low Income   |2021-04-06|1.5523788636 |
|Middle Income|2021-04-07|2.4770719663 |
|High Income  |2021-04-07|2.2791140755 |
|Low Income   |2021-04-07|1.5523788636 |
|Middle Income|2021-04-08|2.4770719663 |
|High Income  |2021-04-08|2.2791140755 |
|Low Income   |2021-04-08|1.5523788636 |
|Middle Income|2021-04-09|2.4770719663 |
|High Income  |2021-04-09|2.2791140755 |
|Low Income   |2021-04-09|1.5523788636 |
|Middle Income|2021-04-10|2.4770719663 |
|High Income  |2021-04-10|2.2791140755 |
|Low Income   |2021-04-10|1.5523788636 |
|Middle Income|2021-04-11|2.461270345  |
|High Income  |2021-04-11|2.2611034317 |
|Low Income   |2021-04-11|1.5205958355 |
|Middle Income|2021-04-12|2.461270345  |
|High Income  |2021-04-12|2.2611034317 |
|Low Income   |2021-04-12|1.5205958355 |
|Middle Income|2021-04-13|2.461270345  |
|High Income  |2021-04-13|2.2611034317 |
|Low Income   |2021-04-13|1.5205958355 |
|Middle Income|2021-04-14|2.461270345  |
|High Income  |2021-04-14|2.2611034317 |
|Low Income   |2021-04-14|1.5205958355 |
|Middle Income|2021-04-15|2.461270345  |
|High Income  |2021-04-15|2.2611034317 |
|Low Income   |2021-04-15|1.5205958355 |
|Middle Income|2021-04-16|2.461270345  |
|High Income  |2021-04-16|2.2611034317 |
|Low Income   |2021-04-16|1.5205958355 |
|Middle Income|2021-04-17|2.461270345  |
|High Income  |2021-04-17|2.2611034317 |
|Low Income   |2021-04-17|1.5205958355 |
|Middle Income|2021-04-18|2.4409175604 |
|High Income  |2021-04-18|2.2385847857 |
|Low Income   |2021-04-18|1.4742037252 |
|Middle Income|2021-04-19|2.4409175604 |
|High Income  |2021-04-19|2.2385847857 |
|Low Income   |2021-04-19|1.4742037252 |
|Middle Income|2021-04-20|2.4409175604 |
|High Income  |2021-04-20|2.2385847857 |
|Low Income   |2021-04-20|1.4742037252 |
|Middle Income|2021-04-21|2.4409175604 |
|High Income  |2021-04-21|2.2385847857 |
|Low Income   |2021-04-21|1.4742037252 |
|Middle Income|2021-04-22|2.4409175604 |
|High Income  |2021-04-22|2.2385847857 |
|Low Income   |2021-04-22|1.4742037252 |
|Middle Income|2021-04-23|2.4409175604 |
|High Income  |2021-04-23|2.2385847857 |
|Low Income   |2021-04-23|1.4742037252 |
|Middle Income|2021-04-24|2.4409175604 |
|High Income  |2021-04-24|2.2385847857 |
|Low Income   |2021-04-24|1.4742037252 |
|Middle Income|2021-04-25|2.4206715381 |
|High Income  |2021-04-25|2.215761663  |
|Low Income   |2021-04-25|1.4222167921 |
|Middle Income|2021-04-26|2.4206715381 |
|High Income  |2021-04-26|2.215761663  |
|Low Income   |2021-04-26|1.4222167921 |
|Middle Income|2021-04-27|2.4206715381 |
|High Income  |2021-04-27|2.215761663  |
|Low Income   |2021-04-27|1.4222167921 |
|Middle Income|2021-04-28|2.4206715381 |
|High Income  |2021-04-28|2.215761663  |
|Low Income   |2021-04-28|1.4222167921 |
|Middle Income|2021-04-29|2.4206715381 |
|High Income  |2021-04-29|2.215761663  |
|Low Income   |2021-04-29|1.4222167921 |
|Middle Income|2021-04-30|2.4206715381 |
|High Income  |2021-04-30|2.215761663  |
|Low Income   |2021-04-30|1.4222167921 |
|Middle Income|2021-05-01|2.4206715381 |
|High Income  |2021-05-01|2.215761663  |
|Low Income   |2021-05-01|1.4222167921 |
|Middle Income|2021-05-02|2.4058117716 |
|High Income  |2021-05-02|2.1974585051 |
|Low Income   |2021-05-02|1.3873453373 |
|Middle Income|2021-05-03|2.4058117716 |
|High Income  |2021-05-03|2.1974585051 |
|Low Income   |2021-05-03|1.3873453373 |
|Middle Income|2021-05-04|2.4058117716 |
|High Income  |2021-05-04|2.1974585051 |
|Low Income   |2021-05-04|1.3873453373 |
|Middle Income|2021-05-05|2.4058117716 |
|High Income  |2021-05-05|2.1974585051 |
|Low Income   |2021-05-05|1.3873453373 |
|Middle Income|2021-05-06|2.4058117716 |
|High Income  |2021-05-06|2.1974585051 |
|Low Income   |2021-05-06|1.3873453373 |
|Middle Income|2021-05-07|2.4058117716 |
|High Income  |2021-05-07|2.1974585051 |
|Low Income   |2021-05-07|1.3873453373 |
|Middle Income|2021-05-08|2.4058117716 |
|High Income  |2021-05-08|2.1974585051 |
|Low Income   |2021-05-08|1.3873453373 |
|Middle Income|2021-05-09|2.3921353785 |
|High Income  |2021-05-09|2.1815081256 |
|Low Income   |2021-05-09|1.3637323462 |
|Middle Income|2021-05-10|2.3921353785 |
|High Income  |2021-05-10|2.1815081256 |
|Low Income   |2021-05-10|1.3637323462 |
|Middle Income|2021-05-11|2.3921353785 |
|High Income  |2021-05-11|2.1815081256 |
|Low Income   |2021-05-11|1.3637323462 |
|Middle Income|2021-05-12|2.3921353785 |
|High Income  |2021-05-12|2.1815081256 |
|Low Income   |2021-05-12|1.3637323462 |
|Middle Income|2021-05-13|2.3921353785 |
|High Income  |2021-05-13|2.1815081256 |
|Low Income   |2021-05-13|1.3637323462 |
|Middle Income|2021-05-14|2.3921353785 |
|High Income  |2021-05-14|2.1815081256 |
|Low Income   |2021-05-14|1.3637323462 |
|Middle Income|2021-05-15|2.3921353785 |
|High Income  |2021-05-15|2.1815081256 |
|Low Income   |2021-05-15|1.3637323462 |
|Middle Income|2021-05-16|2.3835602563 |
|High Income  |2021-05-16|2.1716357697 |
|Low Income   |2021-05-16|1.360692648  |
|Middle Income|2021-05-17|2.3835602563 |
|High Income  |2021-05-17|2.1716357697 |
|Low Income   |2021-05-17|1.360692648  |
|Middle Income|2021-05-18|2.3835602563 |
|High Income  |2021-05-18|2.1716357697 |
|Low Income   |2021-05-18|1.360692648  |
|Middle Income|2021-05-19|2.3835602563 |
|High Income  |2021-05-19|2.1716357697 |
|Low Income   |2021-05-19|1.360692648  |
|Middle Income|2021-05-20|2.3835602563 |
|High Income  |2021-05-20|2.1716357697 |
|Low Income   |2021-05-20|1.360692648  |
|Middle Income|2021-05-21|2.3835602563 |
|High Income  |2021-05-21|2.1716357697 |
|Low Income   |2021-05-21|1.360692648  |
|Middle Income|2021-05-22|2.3835602563 |
|High Income  |2021-05-22|2.1716357697 |
|Low Income   |2021-05-22|1.360692648  |
|Middle Income|2021-05-23|2.3799640321 |
|High Income  |2021-05-23|2.1677171304 |
|Low Income   |2021-05-23|1.3803193208 |
|Middle Income|2021-05-24|2.3799640321 |
|High Income  |2021-05-24|2.1677171304 |
|Low Income   |2021-05-24|1.3803193208 |
|Middle Income|2021-05-25|2.3799640321 |
|High Income  |2021-05-25|2.1677171304 |
|Low Income   |2021-05-25|1.3803193208 |
|Middle Income|2021-05-26|2.3799640321 |
|High Income  |2021-05-26|2.1677171304 |
|Low Income   |2021-05-26|1.3803193208 |
|Middle Income|2021-05-27|2.3799640321 |
|High Income  |2021-05-27|2.1677171304 |
|Low Income   |2021-05-27|1.3803193208 |
|Middle Income|2021-05-28|2.3799640321 |
|High Income  |2021-05-28|2.1677171304 |
|Low Income   |2021-05-28|1.3803193208 |
|Middle Income|2021-05-29|2.3799640321 |
|High Income  |2021-05-29|2.1677171304 |
|Low Income   |2021-05-29|1.3803193208 |
|Middle Income|2021-05-30|2.3790372481 |
|High Income  |2021-05-30|2.1675928602 |
|Low Income   |2021-05-30|1.408160269  |
|Middle Income|2021-05-31|2.3790372481 |
|High Income  |2021-05-31|2.1675928602 |
|Low Income   |2021-05-31|1.408160269  |
|Middle Income|2021-06-01|2.3790372481 |
|High Income  |2021-06-01|2.1675928602 |
|Low Income   |2021-06-01|1.408160269  |
|Middle Income|2021-06-02|2.3790372481 |
|High Income  |2021-06-02|2.1675928602 |
|Low Income   |2021-06-02|1.408160269  |
|Middle Income|2021-06-03|2.3790372481 |
|High Income  |2021-06-03|2.1675928602 |
|Low Income   |2021-06-03|1.408160269  |
|Middle Income|2021-06-04|2.3790372481 |
|High Income  |2021-06-04|2.1675928602 |
|Low Income   |2021-06-04|1.408160269  |
|Middle Income|2021-06-05|2.3790372481 |
|High Income  |2021-06-05|2.1675928602 |
|Low Income   |2021-06-05|1.408160269  |
|Middle Income|2021-06-06|2.3782592977 |
|High Income  |2021-06-06|2.1682551228 |
|Low Income   |2021-06-06|1.4342230346 |
|Middle Income|2021-06-07|2.3782592977 |
|High Income  |2021-06-07|2.1682551228 |
|Low Income   |2021-06-07|1.4342230346 |
|Middle Income|2021-06-08|2.3782592977 |
|High Income  |2021-06-08|2.1682551228 |
|Low Income   |2021-06-08|1.4342230346 |
|Middle Income|2021-06-09|2.3782592977 |
|High Income  |2021-06-09|2.1682551228 |
|Low Income   |2021-06-09|1.4342230346 |
|Middle Income|2021-06-10|2.3782592977 |
|High Income  |2021-06-10|2.1682551228 |
|Low Income   |2021-06-10|1.4342230346 |
|Middle Income|2021-06-11|2.3782592977 |
|High Income  |2021-06-11|2.1682551228 |
|Low Income   |2021-06-11|1.4342230346 |
|Middle Income|2021-06-12|2.3782592977 |
|High Income  |2021-06-12|2.1682551228 |
|Low Income   |2021-06-12|1.4342230346 |
|Middle Income|2021-06-13|2.382652474  |
|High Income  |2021-06-13|2.1739072179 |
|Low Income   |2021-06-13|1.4757702886 |
|Middle Income|2021-06-14|2.382652474  |
|High Income  |2021-06-14|2.1739072179 |
|Low Income   |2021-06-14|1.4757702886 |
|Middle Income|2021-06-15|2.382652474  |
|High Income  |2021-06-15|2.1739072179 |
|Low Income   |2021-06-15|1.4757702886 |
|Middle Income|2021-06-16|2.382652474  |
|High Income  |2021-06-16|2.1739072179 |
|Low Income   |2021-06-16|1.4757702886 |
|Middle Income|2021-06-17|2.382652474  |
|High Income  |2021-06-17|2.1739072179 |
|Low Income   |2021-06-17|1.4757702886 |
|Middle Income|2021-06-18|2.382652474  |
|High Income  |2021-06-18|2.1739072179 |
|Low Income   |2021-06-18|1.4757702886 |
|Middle Income|2021-06-19|2.382652474  |
|High Income  |2021-06-19|2.1739072179 |
|Low Income   |2021-06-19|1.4757702886 |
|Middle Income|2021-06-20|2.383544059  |
|High Income  |2021-06-20|2.1767120818 |
|Low Income   |2021-06-20|1.5052448797 |
|Middle Income|2021-06-21|2.383544059  |
|High Income  |2021-06-21|2.1767120818 |
|Low Income   |2021-06-21|1.5052448797 |
|Middle Income|2021-06-22|2.383544059  |
|High Income  |2021-06-22|2.1767120818 |
|Low Income   |2021-06-22|1.5052448797 |
|Middle Income|2021-06-23|2.383544059  |
|High Income  |2021-06-23|2.1767120818 |
|Low Income   |2021-06-23|1.5052448797 |
|Middle Income|2021-06-24|2.383544059  |
|High Income  |2021-06-24|2.1767120818 |
|Low Income   |2021-06-24|1.5052448797 |
|Middle Income|2021-06-25|2.383544059  |
|High Income  |2021-06-25|2.1767120818 |
|Low Income   |2021-06-25|1.5052448797 |
|Middle Income|2021-06-26|2.383544059  |
|High Income  |2021-06-26|2.1767120818 |
|Low Income   |2021-06-26|1.5052448797 |
|Middle Income|2021-06-27|2.3795863255 |
|High Income  |2021-06-27|2.1754205036 |
|Low Income   |2021-06-27|1.5201106593 |
|Middle Income|2021-06-28|2.3795863255 |
|High Income  |2021-06-28|2.1754205036 |
|Low Income   |2021-06-28|1.5201106593 |
|Middle Income|2021-06-29|2.3795863255 |
|High Income  |2021-06-29|2.1754205036 |
|Low Income   |2021-06-29|1.5201106593 |
|Middle Income|2021-06-30|2.3795863255 |
|High Income  |2021-06-30|2.1754205036 |
|Low Income   |2021-06-30|1.5201106593 |
|Middle Income|2021-07-01|2.3795863255 |
|High Income  |2021-07-01|2.1754205036 |
|Low Income   |2021-07-01|1.5201106593 |
|Middle Income|2021-07-02|2.3795863255 |
|High Income  |2021-07-02|2.1754205036 |
|Low Income   |2021-07-02|1.5201106593 |
|Middle Income|2021-07-03|2.3795863255 |
|High Income  |2021-07-03|2.1754205036 |
|Low Income   |2021-07-03|1.5201106593 |
|Middle Income|2021-07-04|2.37359658   |
|High Income  |2021-07-04|2.1707719672 |
|Low Income   |2021-07-04|1.5309823772 |
|Middle Income|2021-07-05|2.37359658   |
|High Income  |2021-07-05|2.1707719672 |
|Low Income   |2021-07-05|1.5309823772 |
|Middle Income|2021-07-06|2.37359658   |
|High Income  |2021-07-06|2.1707719672 |
|Low Income   |2021-07-06|1.5309823772 |
|Middle Income|2021-07-07|2.37359658   |
|High Income  |2021-07-07|2.1707719672 |
|Low Income   |2021-07-07|1.5309823772 |
|Middle Income|2021-07-08|2.37359658   |
|High Income  |2021-07-08|2.1707719672 |
|Low Income   |2021-07-08|1.5309823772 |
|Middle Income|2021-07-09|2.37359658   |
|High Income  |2021-07-09|2.1707719672 |
|Low Income   |2021-07-09|1.5309823772 |
|Middle Income|2021-07-10|2.37359658   |
|High Income  |2021-07-10|2.1707719672 |
|Low Income   |2021-07-10|1.5309823772 |
|Middle Income|2021-07-11|2.362966985  |
|High Income  |2021-07-11|2.1593588621 |
|Low Income   |2021-07-11|1.5391428457 |
|Middle Income|2021-07-12|2.362966985  |
|High Income  |2021-07-12|2.1593588621 |
|Low Income   |2021-07-12|1.5391428457 |
|Middle Income|2021-07-13|2.362966985  |
|High Income  |2021-07-13|2.1593588621 |
|Low Income   |2021-07-13|1.5391428457 |
|Middle Income|2021-07-14|2.362966985  |
|High Income  |2021-07-14|2.1593588621 |
|Low Income   |2021-07-14|1.5391428457 |
|Middle Income|2021-07-15|2.362966985  |
|High Income  |2021-07-15|2.1593588621 |
|Low Income   |2021-07-15|1.5391428457 |
|Middle Income|2021-07-16|2.362966985  |
|High Income  |2021-07-16|2.1593588621 |
|Low Income   |2021-07-16|1.5391428457 |
|Middle Income|2021-07-17|2.362966985  |
|High Income  |2021-07-17|2.1593588621 |
|Low Income   |2021-07-17|1.5391428457 |
|Middle Income|2021-07-18|2.3495587796 |
|High Income  |2021-07-18|2.1450111183 |
|Low Income   |2021-07-18|1.5473237364 |
|Middle Income|2021-07-19|2.3495587796 |
|High Income  |2021-07-19|2.1450111183 |
|Low Income   |2021-07-19|1.5473237364 |
|Middle Income|2021-07-20|2.3495587796 |
|High Income  |2021-07-20|2.1450111183 |
|Low Income   |2021-07-20|1.5473237364 |
|Middle Income|2021-07-21|2.3495587796 |
|High Income  |2021-07-21|2.1450111183 |
|Low Income   |2021-07-21|1.5473237364 |
|Middle Income|2021-07-22|2.3495587796 |
|High Income  |2021-07-22|2.1450111183 |
|Low Income   |2021-07-22|1.5473237364 |
|Middle Income|2021-07-23|2.3495587796 |
|High Income  |2021-07-23|2.1450111183 |
|Low Income   |2021-07-23|1.5473237364 |
|Middle Income|2021-07-24|2.3495587796 |
|High Income  |2021-07-24|2.1450111183 |
|Low Income   |2021-07-24|1.5473237364 |
|Middle Income|2021-07-25|2.3446379823 |
|High Income  |2021-07-25|2.1344289766 |
|Low Income   |2021-07-25|1.5586557224 |
|Middle Income|2021-07-26|2.3446379823 |
|High Income  |2021-07-26|2.1344289766 |
|Low Income   |2021-07-26|1.5586557224 |
|Middle Income|2021-07-27|2.3446379823 |
|High Income  |2021-07-27|2.1344289766 |
|Low Income   |2021-07-27|1.5586557224 |
|Middle Income|2021-07-28|2.3446379823 |
|High Income  |2021-07-28|2.1344289766 |
|Low Income   |2021-07-28|1.5586557224 |
|Middle Income|2021-07-29|2.3446379823 |
|High Income  |2021-07-29|2.1344289766 |
|Low Income   |2021-07-29|1.5586557224 |
|Middle Income|2021-07-30|2.3446379823 |
|High Income  |2021-07-30|2.1344289766 |
|Low Income   |2021-07-30|1.5586557224 |
|Middle Income|2021-07-31|2.3446379823 |
|High Income  |2021-07-31|2.1344289766 |
|Low Income   |2021-07-31|1.5586557224 |
|Middle Income|2021-08-01|2.332451192  |
|High Income  |2021-08-01|2.1188209805 |
|Low Income   |2021-08-01|1.5633961542 |
|Middle Income|2021-08-02|2.332451192  |
|High Income  |2021-08-02|2.1188209805 |
|Low Income   |2021-08-02|1.5633961542 |
|Middle Income|2021-08-03|2.332451192  |
|High Income  |2021-08-03|2.1188209805 |
|Low Income   |2021-08-03|1.5633961542 |
|Middle Income|2021-08-04|2.332451192  |
|High Income  |2021-08-04|2.1188209805 |
|Low Income   |2021-08-04|1.5633961542 |
|Middle Income|2021-08-05|2.332451192  |
|High Income  |2021-08-05|2.1188209805 |
|Low Income   |2021-08-05|1.5633961542 |
|Middle Income|2021-08-06|2.332451192  |
|High Income  |2021-08-06|2.1188209805 |
|Low Income   |2021-08-06|1.5633961542 |
|Middle Income|2021-08-07|2.332451192  |
|High Income  |2021-08-07|2.1188209805 |
|Low Income   |2021-08-07|1.5633961542 |
|Middle Income|2021-08-08|2.3197581167 |
|High Income  |2021-08-08|2.1027360282 |
|Low Income   |2021-08-08|1.5699682386 |
|Middle Income|2021-08-09|2.3197581167 |
|High Income  |2021-08-09|2.1027360282 |
|Low Income   |2021-08-09|1.5699682386 |
|Middle Income|2021-08-10|2.3197581167 |
|High Income  |2021-08-10|2.1027360282 |
|Low Income   |2021-08-10|1.5699682386 |
|Middle Income|2021-08-11|2.3197581167 |
|High Income  |2021-08-11|2.1027360282 |
|Low Income   |2021-08-11|1.5699682386 |
|Middle Income|2021-08-12|2.3197581167 |
|High Income  |2021-08-12|2.1027360282 |
|Low Income   |2021-08-12|1.5699682386 |
|Middle Income|2021-08-13|2.3197581167 |
|High Income  |2021-08-13|2.1027360282 |
|Low Income   |2021-08-13|1.5699682386 |
|Middle Income|2021-08-14|2.3197581167 |
|High Income  |2021-08-14|2.1027360282 |
|Low Income   |2021-08-14|1.5699682386 |
|Middle Income|2021-08-15|2.3076288254 |
|High Income  |2021-08-15|2.0863978073 |
|Low Income   |2021-08-15|1.5757735638 |
|Middle Income|2021-08-16|2.3076288254 |
|High Income  |2021-08-16|2.0863978073 |
|Low Income   |2021-08-16|1.5757735638 |
|Middle Income|2021-08-17|2.3076288254 |
|High Income  |2021-08-17|2.0863978073 |
|Low Income   |2021-08-17|1.5757735638 |
|Middle Income|2021-08-18|2.3076288254 |
|High Income  |2021-08-18|2.0863978073 |
|Low Income   |2021-08-18|1.5757735638 |
|Middle Income|2021-08-19|2.3076288254 |
|High Income  |2021-08-19|2.0863978073 |
|Low Income   |2021-08-19|1.5757735638 |
|Middle Income|2021-08-20|2.3076288254 |
|High Income  |2021-08-20|2.0863978073 |
|Low Income   |2021-08-20|1.5757735638 |
|Middle Income|2021-08-21|2.3076288254 |
|High Income  |2021-08-21|2.0863978073 |
|Low Income   |2021-08-21|1.5757735638 |
|Middle Income|2021-08-22|2.2967774871 |
|High Income  |2021-08-22|2.0707256627 |
|Low Income   |2021-08-22|1.5797654805 |
|Middle Income|2021-08-23|2.2967774871 |
|High Income  |2021-08-23|2.0707256627 |
|Low Income   |2021-08-23|1.5797654805 |
|Middle Income|2021-08-24|2.2967774871 |
|High Income  |2021-08-24|2.0707256627 |
|Low Income   |2021-08-24|1.5797654805 |
|Middle Income|2021-08-25|2.2967774871 |
|High Income  |2021-08-25|2.0707256627 |
|Low Income   |2021-08-25|1.5797654805 |
|Middle Income|2021-08-26|2.2967774871 |
|High Income  |2021-08-26|2.0707256627 |
|Low Income   |2021-08-26|1.5797654805 |
|Middle Income|2021-08-27|2.2967774871 |
|High Income  |2021-08-27|2.0707256627 |
|Low Income   |2021-08-27|1.5797654805 |
|Middle Income|2021-08-28|2.2967774871 |
|High Income  |2021-08-28|2.0707256627 |
|Low Income   |2021-08-28|1.5797654805 |
|Middle Income|2021-08-29|2.2863675937 |
|High Income  |2021-08-29|2.0559341662 |
|Low Income   |2021-08-29|1.5827344525 |
|Middle Income|2021-08-30|2.2863675937 |
|High Income  |2021-08-30|2.0559341662 |
|Low Income   |2021-08-30|1.5827344525 |
|Middle Income|2021-08-31|2.2863675937 |
|High Income  |2021-08-31|2.0559341662 |
|Low Income   |2021-08-31|1.5827344525 |
|Middle Income|2021-09-01|2.2863675937 |
|High Income  |2021-09-01|2.0559341662 |
|Low Income   |2021-09-01|1.5827344525 |
|Middle Income|2021-09-02|2.2863675937 |
|High Income  |2021-09-02|2.0559341662 |
|Low Income   |2021-09-02|1.5827344525 |
|Middle Income|2021-09-03|2.2863675937 |
|High Income  |2021-09-03|2.0559341662 |
|Low Income   |2021-09-03|1.5827344525 |
|Middle Income|2021-09-04|2.2863675937 |
|High Income  |2021-09-04|2.0559341662 |
|Low Income   |2021-09-04|1.5827344525 |
|Middle Income|2021-09-05|2.2773867888 |
|High Income  |2021-09-05|2.0428073638 |
|Low Income   |2021-09-05|1.5823711176 |
|Middle Income|2021-09-06|2.2773867888 |
|High Income  |2021-09-06|2.0428073638 |
|Low Income   |2021-09-06|1.5823711176 |
|Middle Income|2021-09-07|2.2773867888 |
|High Income  |2021-09-07|2.0428073638 |
|Low Income   |2021-09-07|1.5823711176 |
|Middle Income|2021-09-08|2.2773867888 |
|High Income  |2021-09-08|2.0428073638 |
|Low Income   |2021-09-08|1.5823711176 |
|Middle Income|2021-09-09|2.2773867888 |
|High Income  |2021-09-09|2.0428073638 |
|Low Income   |2021-09-09|1.5823711176 |
|Middle Income|2021-09-10|2.2773867888 |
|High Income  |2021-09-10|2.0428073638 |
|Low Income   |2021-09-10|1.5823711176 |
|Middle Income|2021-09-11|2.2773867888 |
